NO,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지
1,학교법인가톨릭학원가톨릭대학교서울성모병원,상급종합,02-1588-1511,6591,"서울특별시 서초구 반포대로 222, (반포동)",http://www.cmcseoul.or.kr/
2,한양대학교병원,상급종합,02-2290-8114,4763,"서울특별시 성동구 왕십리로 222-1, (사근동)",http://seoul.hyumc.com
3,서울대학교병원,상급종합,1588-5700,3080,"서울특별시 종로구 대학로 101, (연건동)",http://www.snuh.org
4,강북삼성병원,상급종합,02-2001-2001,3181,"서울특별시 종로구 새문안로 29, (평동)",http://www.kbsmc.co.kr
5,중앙대학교병원,상급종합,1800-1114,6973,"서울특별시 동작구 흑석로 102, (흑석동)",http://ch.cauhs.or.kr/
6,건국대학교병원,상급종합,1588-1533,5030,"서울특별시 광진구 능동로 120-1, (화양동)",http://www.kuh.ac.kr
7,연세대학교의과대학 강남세브란스병원,상급종합,02-2019-3114,6273,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",http://gs.iseverance.com
8,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),상급종합,1577-0083,2841,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",http://anam.kumc.or.kr/main/index.do
9,연세대학교의과대학세브란스병원,상급종합,02-2228-0114,3722,"서울특별시 서대문구 연세로 50-1, (신촌동)",http://www.yuhs.or.kr
10,경희대학교병원,상급종합,02-958-8114,2447,"서울특별시 동대문구 경희대로 23, (회기동)",http://www.khuh.or.kr/
11,삼성서울병원,상급종합,02-3410-2114,6351,"서울특별시 강남구 일원로 81, (일원동)",http://www.samsunghospital.com
12,재단법인아산사회복지재단 서울아산병원,상급종합,02-3010-3114,5505,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",http://www.amc.seoul.kr
13,이화여자대학교의과대학부속목동병원,상급종합,02-2650-5114,7985,"서울특별시 양천구 안양천로 1071, (목동)",http://www.eumc.ac.kr/mokdong/
14,고려대학교의과대학부속구로병원,상급종합,02-2626-1114,8308,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",http://guro.kumc.or.kr/main/index.do
15,한림대학교성심병원,상급종합,031-380-1500,14068,"경기도 안양시 동안구 관평로170번길 22, (평촌동)",http://hallym.hallym.or.kr/
