"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3020000","2010302009507500001","1985-11-12","","01","영업/정상","1","정상영업","","","","","02-709-7501","7470.17","","서울특별시 용산구 용산동6가 69-167 신동아쇼핑","서울특별시 용산구 이촌로 352, 신동아쇼핑 (용산동6가)","04428","신동아쇼핑센터","2025-03-10 16:43:33","U","2024-12-02 23:02:00.0","복합쇼핑몰","198622.89264988","446114.155238838",""
"3240000","2025324028907500003","2025-03-11","","01","영업/정상","1","정상영업","","","","","02-2006-2364","1017","","서울특별시 강동구 둔촌동 170-1 포레온스테이션5","서울특별시 강동구 양재대로 1360, 포레온스테이션5 (둔촌동)","05409","GS THE FRESH 둔촌포레온점","2025-06-06 12:11:16","U","2024-12-06 00:09:00.0","구분없음","212195.109947109","447197.273286818",""
"3240000","2025324028907500002","2025-03-11","","01","영업/정상","5","영업개시전","","","","","","1488.69","","서울특별시 강동구 둔촌동 170-1","","","하나로마트 둔촌점","2025-03-11 09:54:24","I","2024-12-02 23:03:00.0","구분없음","212195.109947109","447197.273286818",""
"3240000","2025324028907500004","2025-03-11","","01","영업/정상","5","영업개시전","","","","","02-380-5042","1381.15","","서울특별시 강동구 둔촌동 174-1 B102,B103호","","","(주)이마트에브리데이 둔촌점","2025-03-11 09:32:28","I","2024-12-02 23:03:00.0","구분없음","212027.481158905","446598.591776331",""
"3040000","2021304019007500001","2021-06-08","","01","영업/정상","1","정상영업","","","","","024578045","3208.98","","서울특별시 광진구 구의동 66-25","서울특별시 광진구 광나루로39길 11 (구의동)","04977","구의 자이르네 판매시설","2025-03-18 17:07:41","U","2024-12-02 22:00:00.0","그 밖의 대규모점포","207775.86513205","449252.386906411",""
"3190000","2025319027107500001","2025-03-31","","01","영업/정상","1","정상영업","","","","","02-2006-2364","179.4","","서울특별시 동작구 노량진동 119-68","서울특별시 동작구 만양로 93, 주영빌딩 B1층 (노량진동)","06923","GS THE FRESH 노량진역점","2025-05-15 10:57:30","U","2024-12-04 23:08:00.0","구분없음","194984.417259173","445509.979775534",""
"3080000","2025308019007500001","2025-04-07","","01","영업/정상","1","정상영업","","","","","02-2006-2364","294.5","","서울특별시 강북구 수유동 472-304","서울특별시 강북구 삼양로79길 24-17 (수유동)","01100","GS THE FRESH 수유중앙점","2025-05-02 09:46:10","U","2024-12-05 00:04:00.0","구분없음","201357.487353084","458750.390221395",""
"3040000","2011304015507500003","2011-10-04","","01","영업/정상","1","정상영업","","","","","02-469-1333","1162","143-914","서울특별시 광진구 화양동 10번지 1호","서울특별시 광진구 능동로13길 39 (화양동)","143-914","(주)지에스리테일GS수퍼 광진화양점","2025-04-14 13:39:19","U","2024-12-03 23:06:00.0","구분없음","206107.775163579","449029.342177779",""
"3020000","2014302009507500002","2014-07-31","","01","영업/정상","1","정상영업","","","","","027115602","643.3","","","서울특별시 용산구 백범로 341 (원효로1가)","140-111","롯데쇼핑(주)롯데슈퍼원효로점","2025-04-18 16:12:19","U","2024-12-03 22:00:00.0","복합쇼핑몰","197045.849468346","448447.558967085",""
"3110000","2012311013107500001","2011-09-16","","01","영업/정상","1","정상영업","","","","","02  22905853","1508.4","122-859","서울특별시 은평구 불광1동 308번지 1호","서울특별시 은평구 통일로 842 (불광동)","122-859","롯데쇼핑(주)롯데슈퍼범서점","2025-04-22 15:35:27","U","2024-12-03 22:04:00.0","그 밖의 대규모점포","193035.279146132","457365.911737494",""
